Key,English,Spanish
Flag,UKflag,SpanishFlag
English,English,Inglés
Spanish,Spanish,Español
Sound,Sound,Sonido
Music,Music,Música
Desc,English Localization,Localización Español
Levels,Levels:,Niveles:
Settings,Settings:,Configuración:
Language,Language:,Idioma:
Level,Level,Nivel
Missions,[FF5454FF]M[-]issions,[FF5454FF]M[-]isiones
Trucks,[FF5454FF]T[-]rucks,[FF5454FF]C[-]amiones
Time!,Time!,¡Tiempo!
QuestDeliver,Deliver,Entrega
QuestDeliverAny,Deliver (Any), Entrega (Cualquier)
QuestMoney,Get Money,Consigue dinero
QuestTime,Complete Before,Antes de
Loading,[FF5454FF]L[-]oading,[FF5454FF]C[-]argando
LoadingComplete,[FF5454FF]L[-]oading [FF5454FF]D[-]one,[FF5454FF]C[-]arga [FF5454FF]C[-]ompleta
Graphics,Graphics:,Gráficos:
Low,Low,Bajo
Medium,Medium,Medio
High,High,Alto
WhatsNew,What's New?, Novedades
Version,Version, Versión
VersionNumber,Alpha: 0.03a2,Alfa: 0.03a2
VersionText,[u]0.03a2[/u]\n- Better Tutorial Framework!\n[u]0.03a1[/u]\n- Added better clicklable roads sprites\n- Reworked Road colliders\n- Added Tutorials\n- Added 2 more levels\n- Added early level finish (if all quests completeted)\n[u]BugFixes:[/u]\n- Fixed several errors with UI.\n- Fixed several errors with Music.,[u]0.03a2[/u]\n- Sistema de tutoriales mejorado!\n[u]0.03a1[/u]\n- Mejores sprites clickables de carreteras\n- Rediseñado colisionadores de carretera\n- Añadidos tutoriales\n- Añadidos 2 nivles jugables\n- Ahora el nivel puede terminar antes de tiempo (Si todas las misiones fueron cumplidas)\n[u]BugFixes:[/u]\n- Arreglados diversos errores de interfaz\n- Arreglados diversos errores con la Música.
Skip,Skip,Saltar
RepeatTutorial,Repeat Tutorial,Repetir Tutorial
PressHere, Touch here to continue, Toca aquí para continuar
PressAnywhere, Touch anywhere to continue, Toca para continuar

